date;host;searches
17.07.2016;iOS;40638
17.07.2016;mobile_web;11553
18.07.2016;Android;14959
18.07.2016;iOS;41443
18.07.2016;mobile_web;13061
19.07.2016;Android;14056
19.07.2016;iOS;38293
19.07.2016;mobile_web;13145
20.07.2016;Android;15977
20.07.2016;iOS;39174
20.07.2016;mobile_web;13378
21.07.2016;Android;11922
21.07.2016;iOS;39424
21.07.2016;mobile_web;12009
22.07.2016;Android;11310
22.07.2016;iOS;42976
22.07.2016;mobile_web;11089
23.07.2016;Android;11429
23.07.2016;iOS;35703
23.07.2016;mobile_web;10338
24.07.2016;Android;12767
24.07.2016;iOS;36164
24.07.2016;mobile_web;11559
25.07.2016;Android;13484
25.07.2016;iOS;37929
25.07.2016;mobile_web;11746
26.07.2016;Android;13470
26.07.2016;iOS;37384
26.07.2016;mobile_web;13851
27.07.2016;Android;11750
27.07.2016;iOS;35545
27.07.2016;mobile_web;12856
28.07.2016;Android;11396
28.07.2016;iOS;41954
28.07.2016;mobile_web;11375
29.07.2016;Android;12558
29.07.2016;iOS;42353
29.07.2016;mobile_web;10260
30.07.2016;Android;10482
30.07.2016;iOS;33316
30.07.2016;mobile_web;9434
31.07.2016;Android;11191
31.07.2016;iOS;37430
31.07.2016;mobile_web;10147
01.08.2016;Android;14696
01.08.2016;iOS;35466
01.08.2016;mobile_web;12268
02.08.2016;Android;12431
02.08.2016;iOS;46775
02.08.2016;mobile_web;12757
03.08.2016;Android;14094
03.08.2016;iOS;33823
03.08.2016;mobile_web;13513
04.08.2016;Android;11167
04.08.2016;iOS;36258
04.08.2016;mobile_web;13187
05.08.2016;Android;13358
05.08.2016;iOS;31072
05.08.2016;mobile_web;12102
06.08.2016;Android;9375
06.08.2016;iOS;33004
06.08.2016;mobile_web;11029
07.08.2016;Android;11160
07.08.2016;iOS;34704
07.08.2016;mobile_web;12396
08.08.2016;Android;13458
08.08.2016;iOS;44238
08.08.2016;mobile_web;13787
09.08.2016;Android;12822
09.08.2016;iOS;40411
09.08.2016;mobile_web;12913
10.08.2016;Android;14368
10.08.2016;iOS;35449
10.08.2016;mobile_web;12453
11.08.2016;Android;12566
11.08.2016;iOS;36881
11.08.2016;mobile_web;11571
12.08.2016;Android;10992
12.08.2016;iOS;38422
12.08.2016;mobile_web;10263
13.08.2016;Android;11340
13.08.2016;iOS;32997
13.08.2016;mobile_web;11086
14.08.2016;Android;11624
14.08.2016;iOS;30029
14.08.2016;mobile_web;11000
15.08.2016;Android;13642
15.08.2016;iOS;41094
15.08.2016;mobile_web;12474
16.08.2016;Android;12276
16.08.2016;iOS;32317
16.08.2016;mobile_web;10007
17.08.2016;Android;12683
17.08.2016;iOS;38607
17.08.2016;mobile_web;12275
18.08.2016;Android;13388
18.08.2016;iOS;39571
18.08.2016;mobile_web;9631
19.08.2016;Android;12479
19.08.2016;iOS;34836
19.08.2016;mobile_web;8476
20.08.2016;Android;11113
20.08.2016;iOS;29930
20.08.2016;mobile_web;9595
21.08.2016;Android;10619
21.08.2016;iOS;36702
21.08.2016;mobile_web;11102
22.08.2016;Android;13394
22.08.2016;iOS;35024
22.08.2016;mobile_web;9331
23.08.2016;Android;12799
23.08.2016;iOS;32689
23.08.2016;mobile_web;9132
24.08.2016;Android;13068
24.08.2016;iOS;42006
24.08.2016;mobile_web;10541
25.08.2016;Android;12675
25.08.2016;iOS;39511
25.08.2016;mobile_web;9874
26.08.2016;Android;11615
26.08.2016;iOS;34842
26.08.2016;mobile_web;8157
27.08.2016;Android;9676
27.08.2016;iOS;24889
27.08.2016;mobile_web;10071
28.08.2016;Android;10607
28.08.2016;iOS;27219
28.08.2016;mobile_web;10389
29.08.2016;Android;10892
29.08.2016;iOS;39415
29.08.2016;mobile_web;11627
30.08.2016;Android;12013
30.08.2016;iOS;36521
30.08.2016;mobile_web;11963
31.08.2016;Android;13491
31.08.2016;iOS;30640
31.08.2016;mobile_web;11795
01.09.2016;Android;11206
01.09.2016;iOS;33093
01.09.2016;mobile_web;10012
02.09.2016;Android;12065
02.09.2016;iOS;32706
02.09.2016;mobile_web;9279
03.09.2016;Android;10576
03.09.2016;iOS;28291
03.09.2016;mobile_web;9225
04.09.2016;Android;12581
04.09.2016;iOS;35198
04.09.2016;mobile_web;10629
05.09.2016;Android;11150
05.09.2016;iOS;36363
05.09.2016;mobile_web;11492
06.09.2016;Android;11676
06.09.2016;iOS;30521
06.09.2016;mobile_web;11880
07.09.2016;Android;12833
07.09.2016;iOS;34874
07.09.2016;mobile_web;10285
08.09.2016;Android;10638
08.09.2016;iOS;33318
08.09.2016;mobile_web;10432
09.09.2016;Android;10319
09.09.2016;iOS;31439
09.09.2016;mobile_web;10875
10.09.2016;Android;11070
10.09.2016;iOS;27990
10.09.2016;mobile_web;8858
11.09.2016;Android;9476
11.09.2016;iOS;28173
11.09.2016;mobile_web;10304
12.09.2016;Android;11715
12.09.2016;iOS;37183
